joinname_author,gender,sector,level,level_2010,level_changed,university,universityrank,department,georegion,first_pub,last_pub,years_diff,total_pub,year,n_author,f_i,int_score,int_pre_post,ANVUR,pub_pre_post,c_avg,cit_pre_post,coauthors_pre_post,fss,fss_pre_post,fascia_journal,fascia_pre_post,proportion_fascia,uni_cat,uniDept,id
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2013,1,1,0,0.142857142857143,Post_ANVUR,7,2.34501347708895,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2013,2,0.5,0,0.142857142857143,Post_ANVUR,7,2.34501347708895,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2012,2,0.5,0.5,0.142857142857143,Post_ANVUR,7,3.55972696245734,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2012,3,0.333333333333333,0,0.142857142857143,Post_ANVUR,7,3.55972696245734,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2011,2,0.5,0.5,0.142857142857143,Post_ANVUR,7,5.28971962616822,58,1,2.44642353380353,1.41985400366367,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2009,2,0.5,0,0.361111111111111,Before_ANVUR,7,6.25454545454546,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2009,2,0.5,0,0.361111111111111,Before_ANVUR,7,6.25454545454546,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2009,2,0.5,0.5,0.361111111111111,Before_ANVUR,7,6.25454545454546,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2008,2,0.5,0.5,0.361111111111111,Before_ANVUR,7,8.54545454545455,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2008,2,0.5,0.5,0.361111111111111,Before_ANVUR,7,8.54545454545455,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2008,1,1,NA,0.361111111111111,Before_ANVUR,7,8.54545454545455,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
albertini_marco,M,SPS/09,associate professor,assistant professor,not_same_level,BOLOGNA,high,Political Sciences,north,2007,2015,8,14,2007,3,0.333333333333333,0.666666666666667,0.361111111111111,Before_ANVUR,7,11.8645833333333,200,1,2.44642353380353,1.02656953013985,not_fascia_A,7,1,7,7   Political Sciences,8
alietti_alfredo,M,SPS/10,assistant professor,assistant professor,same_level,FERRARA,medium,Humanities,north,2012,2014,2,3,2014,2,0.5,0,0,Post_ANVUR,3,1.59946949602122,3,1,0.247069406332308,0.247069406332308,not_fascia_A,3,1,17,17   Humanities,9
alietti_alfredo,M,SPS/10,assistant professor,assistant professor,same_level,FERRARA,medium,Humanities,north,2012,2014,2,3,2013,2,0.5,0,0,Post_ANVUR,3,2.34501347708895,3,1,0.247069406332308,0.247069406332308,not_fascia_A,3,1,17,17   Humanities,9
alietti_alfredo,M,SPS/10,assistant professor,assistant professor,same_level,FERRARA,medium,Humanities,north,2012,2014,2,3,2012,2,0.5,0,0,Post_ANVUR,3,3.55972696245734,3,1,0.247069406332308,0.247069406332308,not_fascia_A,3,1,17,17   Humanities,9
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2014,1,1,0,0.083333333333333,Post_ANVUR,6,1.59946949602122,3,0.166666666666667,0.717001539474341,0.333141125079576,not_fascia_A,6,1,33,33   Humanities,10
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2014,1,1,0,0.083333333333333,Post_ANVUR,6,1.59946949602122,3,0.166666666666667,0.717001539474341,0.333141125079576,not_fascia_A,6,1,33,33   Humanities,10
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2014,1,1,0,0.083333333333333,Post_ANVUR,6,1.59946949602122,3,0.166666666666667,0.717001539474341,0.333141125079576,not_fascia_A,6,1,33,33   Humanities,10
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2013,1,1,0,0.083333333333333,Post_ANVUR,6,2.34501347708895,3,0.166666666666667,0.717001539474341,0.333141125079576,not_fascia_A,6,1,33,33   Humanities,10
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2013,2,0.5,0.5,0.083333333333333,Post_ANVUR,6,2.34501347708895,3,0.166666666666667,0.717001539474341,0.333141125079576,not_fascia_A,6,1,33,33   Humanities,10
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2012,1,1,0,0.083333333333333,Post_ANVUR,6,3.55972696245734,3,0.166666666666667,0.717001539474341,0.333141125079576,not_fascia_A,6,1,33,33   Humanities,10
allievi_stefano,M,SPS/07,associate professor,associate professor,same_level,PADOVA,high,Humanities,north,2010,2014,4,7,2010,1,1,0,0,Before_ANVUR,1,5.21022727272727,8,0,0.717001539474341,0.383860414394766,not_fascia_A,1,1,33,33   Humanities,10
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2015,1,1,0,0.03125,Post_ANVUR,16,0.420353982300885,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2015,1,1,0,0.03125,Post_ANVUR,16,0.420353982300885,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2015,2,0.5,0,0.03125,Post_ANVUR,16,0.420353982300885,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2015,2,0.5,0.5,0.03125,Post_ANVUR,16,0.420353982300885,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2014,1,1,0,0.03125,Post_ANVUR,16,1.59946949602122,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2014,1,1,0,0.03125,Post_ANVUR,16,1.59946949602122,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2014,1,1,0,0.03125,Post_ANVUR,16,1.59946949602122,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2014,3,0.333333333333333,0,0.03125,Post_ANVUR,16,1.59946949602122,101,0.3125,3.74496016659588,3.72623028658417,fascia_A,2,0.125,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2013,1,1,0,0.03125,Post_ANVUR,16,2.34501347708895,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2013,1,1,0,0.03125,Post_ANVUR,16,2.34501347708895,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2013,1,1,0,0.03125,Post_ANVUR,16,2.34501347708895,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2012,1,1,0,0.03125,Post_ANVUR,16,3.55972696245734,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2012,1,1,0,0.03125,Post_ANVUR,16,3.55972696245734,101,0.3125,3.74496016659588,3.72623028658417,fascia_A,2,0.125,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2012,1,1,0,0.03125,Post_ANVUR,16,3.55972696245734,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2011,2,0.5,0,0.03125,Post_ANVUR,16,5.28971962616822,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2011,1,1,0,0.03125,Post_ANVUR,16,5.28971962616822,101,0.3125,3.74496016659588,3.72623028658417,not_fascia_A,14,0.875,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2007,1,1,0,0,Before_ANVUR,2,11.8645833333333,2,0.5,3.74496016659588,0.018729880011706,fascia_A,2,1,28,28   Social Sciences,11
ambrosini_maurizio,M,SPS/10,full professor,full professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,18,2006,2,0.5,0,0,Before_ANVUR,2,8.55208333333333,2,0.5,3.74496016659588,0.018729880011706,fascia_A,2,1,28,28   Social Sciences,11
ando'_romana,F,SPS/08,assistant professor,assistant professor,same_level,"ROMA ""La Sapienza""",high,Social Sciences,center,2011,2011,1,1,2011,1,1,0,0,Post_ANVUR,1,5.28971962616822,0,0,0,0,not_fascia_A,1,1,43,43   Social Sciences,12
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2014,2,0.5,0,0.261904761904762,Post_ANVUR,7,1.59946949602122,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2013,3,0.333333333333333,0,0.261904761904762,Post_ANVUR,7,2.34501347708895,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2013,3,0.333333333333333,0.666666666666667,0.261904761904762,Post_ANVUR,7,2.34501347708895,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2013,2,0.5,0,0.261904761904762,Post_ANVUR,7,2.34501347708895,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2013,3,0.333333333333333,0.666666666666667,0.261904761904762,Post_ANVUR,7,2.34501347708895,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2012,3,0.333333333333333,0,0.261904761904762,Post_ANVUR,7,3.55972696245734,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2012,2,0.5,0.5,0.261904761904762,Post_ANVUR,7,3.55972696245734,36,1.57142857142857,0.702152541064552,0.512117684765799,not_fascia_A,7,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2008,2,0.5,0.5,0.25,Before_ANVUR,2,8.54545454545455,15,0.5,0.702152541064552,0.190034856298753,not_fascia_A,2,1,29,29   Sociology,13
andreotti_alberta_argia,F,SPS/09,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2006,2014,8,9,2006,1,1,0,0.25,Before_ANVUR,2,8.55208333333333,15,0.5,0.702152541064552,0.190034856298753,not_fascia_A,2,1,29,29   Sociology,13
andrini_simona,F,SPS/12,full professor,full professor,same_level,ROMA TRE,medium,Political Sciences,center,2008,2015,7,4,2015,1,1,0,0,Post_ANVUR,1,0.420353982300885,0,0,0.137093005140988,0,fascia_A,1,1,45,45   Political Sciences,14
andrini_simona,F,SPS/12,full professor,full professor,same_level,ROMA TRE,medium,Political Sciences,center,2008,2015,7,4,2010,1,1,0,0,Before_ANVUR,3,5.21022727272727,5,0,0.137093005140988,0.137093005140988,fascia_A,3,1,45,45   Political Sciences,14
andrini_simona,F,SPS/12,full professor,full professor,same_level,ROMA TRE,medium,Political Sciences,center,2008,2015,7,4,2009,1,1,0,0,Before_ANVUR,3,6.25454545454546,5,0,0.137093005140988,0.137093005140988,fascia_A,3,1,45,45   Political Sciences,14
andrini_simona,F,SPS/12,full professor,full professor,same_level,ROMA TRE,medium,Political Sciences,center,2008,2015,7,4,2008,1,1,0,0,Before_ANVUR,3,8.54545454545455,5,0,0.137093005140988,0.137093005140988,fascia_A,3,1,45,45   Political Sciences,14
anselmi_manuel,M,SPS/11,assistant professor,assistant professor,same_level,PERUGIA,high,Humanities,center,2015,2015,1,1,2015,1,1,0,0,Post_ANVUR,1,0.420353982300885,0,0,0,0,fascia_A,1,1,37,37   Humanities,15
antonini_erica,F,SPS/07,assistant professor,unknown,not_same_level,"ROMA ""La Sapienza""",high,Social Sciences,center,2010,2010,1,1,2010,1,1,0,0,Before_ANVUR,1,5.21022727272727,0,0,0,0,fascia_A,1,1,43,43   Social Sciences,16
anzera_giuseppe,M,SPS/11,assistant professor,assistant professor,same_level,"ROMA ""La Sapienza""",high,Social Sciences,center,2012,2014,2,2,2014,2,0.5,0,0,Post_ANVUR,2,1.59946949602122,20,1,1.4046021093001,1.4046021093001,not_fascia_A,2,1,43,43   Social Sciences,17
anzera_giuseppe,M,SPS/11,assistant professor,assistant professor,same_level,"ROMA ""La Sapienza""",high,Social Sciences,center,2012,2014,2,2,2012,2,0.5,0,0,Post_ANVUR,2,3.55972696245734,20,1,1.4046021093001,1.4046021093001,not_fascia_A,2,1,43,43   Social Sciences,17
arcidiacono_davide_luca,M,SPS/09,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,2,2015,2,0.5,0,0,Post_ANVUR,2,0.420353982300885,2,0.5,0.09452296819788,0.09452296819788,not_fascia_A,2,1,13,13   Social Sciences,18
arcidiacono_davide_luca,M,SPS/09,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,2,2011,1,1,0,0,Post_ANVUR,2,5.28971962616822,2,0.5,0.09452296819788,0.09452296819788,not_fascia_A,2,1,13,13   Social Sciences,18
argentin_gianluca,M,SPS/07,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,5,2015,1,1,0,0.04,Post_ANVUR,5,0.420353982300885,49,1.2,1.15790636042403,1.15790636042403,not_fascia_A,4,0.8,13,13   Social Sciences,19
argentin_gianluca,M,SPS/07,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,5,2014,5,0.2,0.2,0.04,Post_ANVUR,5,1.59946949602122,49,1.2,1.15790636042403,1.15790636042403,not_fascia_A,4,0.8,13,13   Social Sciences,19
argentin_gianluca,M,SPS/07,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,5,2013,1,1,0,0.04,Post_ANVUR,5,2.34501347708895,49,1.2,1.15790636042403,1.15790636042403,fascia_A,1,0.2,13,13   Social Sciences,19
argentin_gianluca,M,SPS/07,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,5,2011,2,0.5,0,0.04,Post_ANVUR,5,5.28971962616822,49,1.2,1.15790636042403,1.15790636042403,not_fascia_A,4,0.8,13,13   Social Sciences,19
argentin_gianluca,M,SPS/07,assistant professor,unknown,not_same_level,Cattolica del Sacro Cuore,high,Social Sciences,north,2011,2015,4,5,2011,2,0.5,0,0.04,Post_ANVUR,5,5.28971962616822,49,1.2,1.15790636042403,1.15790636042403,not_fascia_A,4,0.8,13,13   Social Sciences,19
arlotti_marco,M,SPS/09,assistant professor,unknown,not_same_level,Politecnico di MILANO,high,Design,north,2015,2015,1,1,2015,1,1,0,0,Post_ANVUR,1,0.420353982300885,0,0,0,0,not_fascia_A,1,1,41,41   Design,20
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2015,2,0.5,0,0.185185185185185,Post_ANVUR,9,0.420353982300885,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2015,3,0.333333333333333,0,0.185185185185185,Post_ANVUR,9,0.420353982300885,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2014,3,0.333333333333333,0,0.185185185185185,Post_ANVUR,9,1.59946949602122,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2014,3,0.333333333333333,0,0.185185185185185,Post_ANVUR,9,1.59946949602122,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2013,2,0.5,0.5,0.185185185185185,Post_ANVUR,9,2.34501347708895,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2013,2,0.5,0,0.185185185185185,Post_ANVUR,9,2.34501347708895,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2013,3,0.333333333333333,0,0.185185185185185,Post_ANVUR,9,2.34501347708895,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2013,3,0.333333333333333,0.666666666666667,0.185185185185185,Post_ANVUR,9,2.34501347708895,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
aroldi_piermarco,M,SPS/08,associate professor,associate professor,same_level,Cattolica del Sacro Cuore,high,Humanities,north,2012,2015,3,9,2012,2,0.5,0.5,0.185185185185185,Post_ANVUR,9,3.55972696245734,14,1.55555555555556,1.42878513179399,1.42878513179399,not_fascia_A,9,1,13,13   Humanities,21
arosio_laura,F,SPS/07,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2013,2015,2,2,2015,1,1,0,0,Post_ANVUR,2,0.420353982300885,0,0,0,0,fascia_A,1,0.5,29,29   Sociology,22
arosio_laura,F,SPS/07,associate professor,assistant professor,not_same_level,MILANO-BICOCCA,high,Sociology,north,2013,2015,2,2,2013,1,1,0,0,Post_ANVUR,2,2.34501347708895,0,0,0,0,not_fascia_A,1,0.5,29,29   Sociology,22
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2015,2,0.5,0,0.14047619047619,Post_ANVUR,14,0.420353982300885,143,1.14285714285714,4.625993574725,2.92806684699499,not_fascia_A,13,0.928571428571429,28,28   Social Sciences,23
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2015,2,0.5,0,0.14047619047619,Post_ANVUR,14,0.420353982300885,143,1.14285714285714,4.625993574725,2.92806684699499,not_fascia_A,13,0.928571428571429,28,28   Social Sciences,23
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2014,1,1,0,0.14047619047619,Post_ANVUR,14,1.59946949602122,143,1.14285714285714,4.625993574725,2.92806684699499,not_fascia_A,13,0.928571428571429,28,28   Social Sciences,23
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2014,1,1,0,0.14047619047619,Post_ANVUR,14,1.59946949602122,143,1.14285714285714,4.625993574725,2.92806684699499,fascia_A,1,0.071428571428572,28,28   Social Sciences,23
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2014,3,0.333333333333333,0,0.14047619047619,Post_ANVUR,14,1.59946949602122,143,1.14285714285714,4.625993574725,2.92806684699499,not_fascia_A,13,0.928571428571429,28,28   Social Sciences,23
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2013,2,0.5,0.5,0.14047619047619,Post_ANVUR,14,2.34501347708895,143,1.14285714285714,4.625993574725,2.92806684699499,not_fascia_A,13,0.928571428571429,28,28   Social Sciences,23
arvidsson_adam_erik,M,SPS/08,associate professor,associate professor,same_level,MILANO,high,Social Sciences,north,2006,2015,9,20,2013,6,0.166666666666667,0.166666666666667,0.14047619047619,Post_ANVUR,14,2.34501347708895,143,1.14285714285714,4.625993574725,2.92806684699499,not_fascia_A,13,0.928571428571429,28,28   Social Sciences,23
